codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2600807,Altinho,PE,Caruaru,Caruaru,-8.478713,-36.112127,21087
2600906,Amaraji,PE,Escada - Ribeirão,Recife,-8.370840,-35.484580,18209
2601003,Angelim,PE,Garanhuns,Caruaru,-8.876573,-36.283827,10600
2601052,Araçoiaba,PE,Recife,Recife,-7.807400,-35.076212,20052
2601102,Araripina,PE,Araripina,Petrolina,-7.650614,-40.523262,90873
2601201,Arcoverde,PE,Arcoverde,Caruaru,-8.385447,-37.011600,82933
2601300,Barra de Guabiraba,PE,Caruaru,Caruaru,-8.406722,-35.643356,12587
2601409,Barreiros,PE,Barreiros - Sirinhaém,Recife,-8.820811,-35.206217,42108
2601508,Belém de Maria,PE,Palmares,Recife,-8.598527,-35.823436,10769
2601607,Belém do São Francisco,PE,Salgueiro,Petrolina,-8.568506,-38.987453,18588
